,P,Precision,Recall,Total True Positives,Total False Positives,Total False Negatives,Total True Negatives
0,0.01,0.45714285714285713,0.7619047619047619,80.0,95.0,25.0,129.0
1,0.02,0.4875,0.7428571428571429,78.0,82.0,27.0,129.0
2,0.03,0.5347222222222222,0.7333333333333333,77.0,67.0,28.0,134.0
3,0.04,0.5746268656716418,0.7333333333333333,77.0,57.0,28.0,140.0
4,0.05,0.6416666666666667,0.7333333333333333,77.0,43.0,28.0,150.0
5,0.06,0.7403846153846154,0.7333333333333333,77.0,27.0,28.0,160.0
6,0.07,0.7731958762886598,0.7142857142857143,75.0,22.0,30.0,165.0
7,0.08,0.7956989247311828,0.7047619047619048,74.0,19.0,31.0,168.0
8,0.09,0.7912087912087912,0.6857142857142857,72.0,19.0,33.0,168.0
9,0.1,0.8255813953488372,0.6761904761904762,71.0,15.0,34.0,172.0
10,0.11,0.8333333333333334,0.6666666666666666,70.0,14.0,35.0,173.0
11,0.12,0.8313253012048193,0.6571428571428571,69.0,14.0,36.0,173.0
12,0.13,0.8292682926829268,0.6476190476190476,68.0,14.0,37.0,173.0
13,0.14,0.881578947368421,0.638095238095238,67.0,9.0,38.0,178.0
14,0.15,0.881578947368421,0.638095238095238,67.0,9.0,38.0,178.0
15,0.16,0.8918918918918919,0.6285714285714286,66.0,8.0,39.0,179.0
16,0.17,0.8904109589041096,0.6190476190476191,65.0,8.0,40.0,179.0
17,0.18,0.8888888888888888,0.6095238095238096,64.0,8.0,41.0,179.0
18,0.19,0.8873239436619719,0.6,63.0,8.0,42.0,179.0
19,0.2,0.9,0.6,63.0,7.0,42.0,180.0
20,0.21,0.9130434782608695,0.6,63.0,6.0,42.0,181.0
21,0.22,0.9253731343283582,0.5904761904761905,62.0,5.0,43.0,182.0
22,0.23,0.9242424242424242,0.580952380952381,61.0,5.0,44.0,182.0
23,0.24,0.9516129032258065,0.5619047619047619,59.0,3.0,46.0,184.0
24,0.25,0.9655172413793104,0.5333333333333333,56.0,2.0,49.0,185.0
25,0.26,0.9814814814814815,0.5047619047619047,53.0,1.0,52.0,186.0
26,0.27,0.9811320754716981,0.49523809523809526,52.0,1.0,53.0,186.0
27,0.28,0.9803921568627451,0.47619047619047616,50.0,1.0,55.0,186.0
28,0.29,0.98,0.4666666666666667,49.0,1.0,56.0,186.0
29,0.3,0.98,0.4666666666666667,49.0,1.0,56.0,186.0
30,0.31,0.9795918367346939,0.45714285714285713,48.0,1.0,57.0,186.0
31,0.32,0.9791666666666666,0.44761904761904764,47.0,1.0,58.0,186.0
32,0.33,0.9791666666666666,0.44761904761904764,47.0,1.0,58.0,186.0
33,0.34,1.0,0.4380952380952381,46.0,0.0,59.0,187.0
34,0.35,1.0,0.4380952380952381,46.0,0.0,59.0,187.0
