,P,Precision,Recall,Total True Positives,Total False Positives,Total False Negatives,Total True Negatives
0,0.01,0.398989898989899,0.7523809523809524,79.0,119.0,26.0,122.0
1,0.02,0.42391304347826086,0.7428571428571429,78.0,106.0,27.0,124.0
2,0.03,0.44970414201183434,0.7238095238095238,76.0,93.0,29.0,127.0
3,0.04,0.4934210526315789,0.7142857142857143,75.0,77.0,30.0,134.0
4,0.05,0.5142857142857142,0.6857142857142857,72.0,68.0,33.0,139.0
5,0.06,0.5538461538461539,0.6857142857142857,72.0,58.0,33.0,143.0
6,0.07,0.5772357723577236,0.6761904761904762,71.0,52.0,34.0,146.0
7,0.08,0.6698113207547169,0.6761904761904762,71.0,35.0,34.0,158.0
8,0.09,0.6862745098039216,0.6666666666666666,70.0,32.0,35.0,161.0
9,0.1,0.7368421052631579,0.6666666666666666,70.0,25.0,35.0,167.0
10,0.11,0.7472527472527473,0.6476190476190476,68.0,23.0,37.0,167.0
11,0.12,0.7764705882352941,0.6285714285714286,66.0,19.0,39.0,169.0
12,0.13,0.8148148148148148,0.6285714285714286,66.0,15.0,39.0,172.0
13,0.14,0.8311688311688312,0.6095238095238096,64.0,13.0,41.0,174.0
14,0.15,0.8472222222222222,0.580952380952381,61.0,11.0,44.0,176.0
15,0.16,0.8591549295774648,0.580952380952381,61.0,10.0,44.0,177.0
16,0.17,0.8591549295774648,0.580952380952381,61.0,10.0,44.0,177.0
17,0.18,0.8676470588235294,0.5619047619047619,59.0,9.0,46.0,178.0
18,0.19,0.8923076923076924,0.5523809523809524,58.0,7.0,47.0,180.0
19,0.2,0.9180327868852459,0.5333333333333333,56.0,5.0,49.0,182.0
20,0.21,0.9137931034482759,0.5047619047619047,53.0,5.0,52.0,182.0
21,0.22,0.9137931034482759,0.5047619047619047,53.0,5.0,52.0,182.0
22,0.23,0.9122807017543859,0.49523809523809526,52.0,5.0,53.0,182.0
23,0.24,0.9285714285714286,0.49523809523809526,52.0,4.0,53.0,183.0
24,0.25,0.9285714285714286,0.49523809523809526,52.0,4.0,53.0,183.0
25,0.26,0.9285714285714286,0.49523809523809526,52.0,4.0,53.0,183.0
26,0.27,0.9629629629629629,0.49523809523809526,52.0,2.0,53.0,185.0
27,0.28,0.9622641509433962,0.4857142857142857,51.0,2.0,54.0,185.0
28,0.29,0.9607843137254902,0.4666666666666667,49.0,2.0,56.0,185.0
29,0.3,0.96,0.45714285714285713,48.0,2.0,57.0,185.0
30,0.31,0.9791666666666666,0.44761904761904764,47.0,1.0,58.0,186.0
31,0.32,0.9791666666666666,0.44761904761904764,47.0,1.0,58.0,186.0
32,0.33,0.9791666666666666,0.44761904761904764,47.0,1.0,58.0,186.0
33,0.34,0.9791666666666666,0.44761904761904764,47.0,1.0,58.0,186.0
34,0.35,0.9791666666666666,0.44761904761904764,47.0,1.0,58.0,186.0
