,P,Precision,Recall,Total True Positives,Total False Positives,Total False Negatives,Total True Negatives
0,0.01,0.5605095541401274,0.8380952380952381,88.0,69.0,17.0,137.0
1,0.02,0.5751633986928104,0.8380952380952381,88.0,65.0,17.0,139.0
2,0.03,0.5986394557823129,0.8380952380952381,88.0,59.0,17.0,141.0
3,0.04,0.624113475177305,0.8380952380952381,88.0,53.0,17.0,144.0
4,0.05,0.6666666666666666,0.8380952380952381,88.0,44.0,17.0,150.0
5,0.06,0.704,0.8380952380952381,88.0,37.0,17.0,155.0
6,0.07,0.7213114754098361,0.8380952380952381,88.0,34.0,17.0,158.0
7,0.08,0.7457627118644068,0.8380952380952381,88.0,30.0,17.0,159.0
8,0.09,0.7699115044247787,0.8285714285714286,87.0,26.0,18.0,163.0
9,0.1,0.7870370370370371,0.8095238095238095,85.0,23.0,20.0,165.0
10,0.11,0.7924528301886793,0.8,84.0,22.0,21.0,166.0
11,0.12,0.7980769230769231,0.7904761904761904,83.0,21.0,22.0,166.0
12,0.13,0.803921568627451,0.780952380952381,82.0,20.0,23.0,167.0
13,0.14,0.7938144329896907,0.7333333333333333,77.0,20.0,28.0,167.0
14,0.15,0.8241758241758241,0.7142857142857143,75.0,16.0,30.0,171.0
15,0.16,0.8409090909090909,0.7047619047619048,74.0,14.0,31.0,173.0
16,0.17,0.8409090909090909,0.7047619047619048,74.0,14.0,31.0,173.0
17,0.18,0.8604651162790697,0.7047619047619048,74.0,12.0,31.0,175.0
18,0.19,0.9012345679012346,0.6952380952380952,73.0,8.0,32.0,179.0
19,0.2,0.9,0.6857142857142857,72.0,8.0,33.0,179.0
20,0.21,0.9,0.6857142857142857,72.0,8.0,33.0,179.0
21,0.22,0.9,0.6857142857142857,72.0,8.0,33.0,179.0
22,0.23,0.9459459459459459,0.6666666666666666,70.0,4.0,35.0,183.0
23,0.24,0.9558823529411765,0.6190476190476191,65.0,3.0,40.0,184.0
24,0.25,0.9558823529411765,0.6190476190476191,65.0,3.0,40.0,184.0
25,0.26,0.9552238805970149,0.6095238095238096,64.0,3.0,41.0,184.0
26,0.27,0.9552238805970149,0.6095238095238096,64.0,3.0,41.0,184.0
27,0.28,0.9552238805970149,0.6095238095238096,64.0,3.0,41.0,184.0
28,0.29,0.9552238805970149,0.6095238095238096,64.0,3.0,41.0,184.0
29,0.3,0.9552238805970149,0.6095238095238096,64.0,3.0,41.0,184.0
30,0.31,0.967741935483871,0.5714285714285714,60.0,2.0,45.0,185.0
31,0.32,0.967741935483871,0.5714285714285714,60.0,2.0,45.0,185.0
32,0.33,0.9672131147540983,0.5619047619047619,59.0,2.0,46.0,185.0
33,0.34,0.9672131147540983,0.5619047619047619,59.0,2.0,46.0,185.0
34,0.35,0.9672131147540983,0.5619047619047619,59.0,2.0,46.0,185.0
