run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2021-05-26_00.27.17_ESN_default,P-1,2612,8245,1,0.0636104333562422,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 2.2093590184039646}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.190526966460555}]",0,2,1,[],"[(4520, 4659)]",3,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 2.2093590184039646}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.190526966460555}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2021-05-26_00.27.17_ESN_default,S-1,2558,7071,1,0.18712513473074602,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5009017580150501}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.855400999457788}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.739183799943521}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.125958004344444}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.259353533216971}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.7032994438780715}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.348979935607909}]",0,0,1,[],"[(5290, 5710)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5009017580150501}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.855400999457788}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.739183799943521}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.125958004344444}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.259353533216971}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.7032994438780715}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.348979935607909}]",SMAP,"[[5300, 5747]]",[point]
2021-05-26_00.27.17_ESN_default,E-1,2620,8256,1,0.05474894398550241,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.088512543165905}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.130302054818824}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.599908656850238}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.010151738348276}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.177686689304301}]",0,1,1,[],"[(5570, 5919)]",2,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.088512543165905}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.130302054818824}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.599908656850238}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.010151738348276}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.177686689304301}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2021-05-26_00.27.17_ESN_default,E-2,2620,8272,1,0.03589619619176302,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.8461849593112367}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.478386757369314}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.820816308509016}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.954932949779953}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.483361819031705}]",0,0,1,[],"[(5570, 5919)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.8461849593112367}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.478386757369314}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.820816308509016}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.954932949779953}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.483361819031705}]",SMAP,"[[5598, 6995]]",[point]
2021-05-26_00.27.17_ESN_default,E-3,2620,8047,2,0.022871813606795438,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.110802921966041}, {'start_idx': 6160, 'end_idx': 6229, 'score': 4.341704848783631}, {'start_idx': 6230, 'end_idx': 6299, 'score': 4.291413701029966}]",0,0,1,[],"[(5570, 5639), (6410, 6549)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.110802921966041}, {'start_idx': 6160, 'end_idx': 6229, 'score': 4.341704848783631}, {'start_idx': 6230, 'end_idx': 6299, 'score': 4.291413701029966}]",SMAP,"[[5094, 8306]]",[point]
2021-05-26_00.27.17_ESN_default,E-4,2620,8094,2,0.02295260829891583,"[{'start_idx': 1455, 'end_idx': 1751, 'score': 2.176206790612643}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.4362008239606303}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.4309765375245855}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9525990498938939}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9691139956921505}, {'start_idx': 5600, 'end_idx': 5669, 'score': 0.9881331657827195}]",1,0,1,"[[1705, 2001]]","[(5570, 5919)]",1,"[{'start_idx': 1455, 'end_idx': 1751, 'score': 2.176206790612643}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.4362008239606303}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.4309765375245855}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9525990498938939}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9691139956921505}, {'start_idx': 5600, 'end_idx': 5669, 'score': 0.9881331657827195}]",SMAP,"[[5450, 8261]]",[point]
2021-05-26_00.27.17_ESN_default,E-5,2620,8034,0,0.04481347807689311,[],0,1,0,[],[],1,[],SMAP,"[[5600, 5920]]",[point]
2021-05-26_00.27.17_ESN_default,E-6,2620,8040,1,0.006183810058551134,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 16.198003390106884}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.752225378772371}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.119496349302475}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 16.198003390106884}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.752225378772371}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.119496349302475}]",SMAP,"[[5610, 5675]]",[point]
2021-05-26_00.27.17_ESN_default,E-7,2509,8050,3,0.021536523255617633,"[{'start_idx': 1034, 'end_idx': 1283, 'score': 2.123388803265914}, {'start_idx': 1403, 'end_idx': 1685, 'score': 2.273825208378931}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.434753757029975}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.051144167486762}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.547638067141419}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.7992336756866}, {'start_idx': 5460, 'end_idx': 5512, 'score': 6.117518333164179}]",2,0,1,"[[1284, 1533], [1653, 1935]]","[(5430, 5762)]",1,"[{'start_idx': 1034, 'end_idx': 1283, 'score': 2.123388803265914}, {'start_idx': 1403, 'end_idx': 1685, 'score': 2.273825208378931}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.434753757029975}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.051144167486762}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.547638067141419}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.7992336756866}, {'start_idx': 5460, 'end_idx': 5512, 'score': 6.117518333164179}]",SMAP,"[[5394, 5674]]",[point]
2021-05-26_00.27.17_ESN_default,E-8,2620,8272,1,0.026277580802240515,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 2.9201820213603495}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.4987438704740885}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.0196962282009725}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.51284212637583}]",0,0,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 2.9201820213603495}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.4987438704740885}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.0196962282009725}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.51284212637583}]",SMAP,"[[5400, 6022]]",[point]
