run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2021-05-30_10.05.01_ESN,P-1,2612,8245,2,0.061283122838632034,"[{'start_idx': 2730, 'end_idx': 2799, 'score': 0.5979891419161634}, {'start_idx': 2800, 'end_idx': 2869, 'score': 0.600142374718684}, {'start_idx': 4270, 'end_idx': 4339, 'score': 2.140407312430231}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.10582020682578}]",1,2,1,"[[2980, 3119]]","[(4520, 4659)]",3,"[{'start_idx': 2730, 'end_idx': 2799, 'score': 0.5979891419161634}, {'start_idx': 2800, 'end_idx': 2869, 'score': 0.600142374718684}, {'start_idx': 4270, 'end_idx': 4339, 'score': 2.140407312430231}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.10582020682578}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2021-05-30_10.05.01_ESN,S-1,2558,7071,1,0.17174749406197828,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 1.0852187788644505}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.0259612719029736}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.9208970280773032}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.3327487061733025}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.465601827653214}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.8778695355512265}]",0,0,1,[],"[(5290, 5709)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 1.0852187788644505}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.0259612719029736}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.9208970280773032}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.3327487061733025}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.465601827653214}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.8778695355512265}]",SMAP,"[[5300, 5747]]",[point]
2021-05-30_10.05.01_ESN,E-1,2620,8256,2,0.03697843407004371,"[{'start_idx': 1833, 'end_idx': 2034, 'score': 3.96160882647605}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.73442177692874}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.119273330232678}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.823422615411271}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.458040128579865}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.76122766853952}, {'start_idx': 5670, 'end_idx': 5709, 'score': 7.3605404726713415}]",1,1,1,"[[2083, 2284]]","[(5570, 5959)]",2,"[{'start_idx': 1833, 'end_idx': 2034, 'score': 3.96160882647605}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.73442177692874}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.119273330232678}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.823422615411271}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.458040128579865}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.76122766853952}, {'start_idx': 5670, 'end_idx': 5709, 'score': 7.3605404726713415}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2021-05-30_10.05.01_ESN,E-2,2620,8272,2,0.03171341436341883,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 3.2421105988419168}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.9586261844819575}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.283991334026481}]",1,0,1,"[[4660, 4729]]","[(5570, 5709)]",1,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 3.2421105988419168}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.9586261844819575}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.283991334026481}]",SMAP,"[[5598, 6995]]",[point]
2021-05-30_10.05.01_ESN,E-3,2620,8047,0,0.02255558124189246,[],0,1,0,[],[],1,[],SMAP,"[[5094, 8306]]",[point]
2021-05-30_10.05.01_ESN,E-4,2620,8094,3,0.02386993274645331,"[{'start_idx': 1522, 'end_idx': 1748, 'score': 3.9788027621227506}, {'start_idx': 4760, 'end_idx': 4829, 'score': 4.455132588123952}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.912934100762052}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.79808577593584}]",2,0,1,"[[1772, 1998], [5010, 5079]]","[(5570, 5709)]",1,"[{'start_idx': 1522, 'end_idx': 1748, 'score': 3.9788027621227506}, {'start_idx': 4760, 'end_idx': 4829, 'score': 4.455132588123952}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.912934100762052}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.79808577593584}]",SMAP,"[[5450, 8261]]",[point]
2021-05-30_10.05.01_ESN,E-5,2620,8034,0,0.09621467260075355,[],0,1,0,[],[],1,[],SMAP,"[[5600, 5920]]",[point]
2021-05-30_10.05.01_ESN,E-6,2620,8040,1,0.003101786740394968,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.996149491651543}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.603466764555327}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.449950181068415}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.996149491651543}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.603466764555327}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.449950181068415}]",SMAP,"[[5610, 5675]]",[point]
2021-05-30_10.05.01_ESN,E-7,2509,8050,1,0.019110988813656356,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 11.091433373965389}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.944429635158789}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.274233719433074}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.187146449626535}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.263802238447477}]",0,0,1,[],"[(5430, 5763)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 11.091433373965389}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.944429635158789}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.274233719433074}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.187146449626535}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.263802238447477}]",SMAP,"[[5394, 5674]]",[point]
2021-05-30_10.05.01_ESN,E-8,2620,8272,1,0.028266354476214537,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 4.15520715130189}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.426706315454727}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.761513196597887}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.389529514752937}]",0,0,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 4.15520715130189}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.426706315454727}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.761513196597887}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.389529514752937}]",SMAP,"[[5400, 6022]]",[point]
2021-05-30_10.05.01_ESN,E-9,2620,8042,1,0.03151305170791241,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.137369658549907}, {'start_idx': 5390, 'end_idx': 5459, 'score': 1.8683413264850255}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.137369658549907}, {'start_idx': 5390, 'end_idx': 5459, 'score': 1.8683413264850255}]",SMAP,"[[5550, 5900]]",[point]
2021-05-30_10.05.01_ESN,E-10,2620,8245,3,0.028839351105318524,"[{'start_idx': 5530, 'end_idx': 5599, 'score': 7.088387526632389}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.306272994831171}, {'start_idx': 5880, 'end_idx': 5949, 'score': 6.412807525193211}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.185411132631547}, {'start_idx': 6160, 'end_idx': 6229, 'score': 6.1465628250174715}, {'start_idx': 6230, 'end_idx': 6299, 'score': 6.096871549256839}]",2,1,1,"[[6130, 6199], [6340, 6549]]","[(5780, 5919)]",2,"[{'start_idx': 5530, 'end_idx': 5599, 'score': 7.088387526632389}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.306272994831171}, {'start_idx': 5880, 'end_idx': 5949, 'score': 6.412807525193211}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.185411132631547}, {'start_idx': 6160, 'end_idx': 6229, 'score': 6.1465628250174715}, {'start_idx': 6230, 'end_idx': 6299, 'score': 6.096871549256839}]",SMAP,"[[5000, 5050], [5601, 5871]]","[contextual, contextual]"
2021-05-30_10.05.01_ESN,E-11,2620,8254,4,0.022739258774865198,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 7.723652163653979}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.888443918480485}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.259920101701017}, {'start_idx': 5880, 'end_idx': 5949, 'score': 7.1512708579656055}, {'start_idx': 6020, 'end_idx': 6089, 'score': 6.9805916899759906}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.956212500447768}, {'start_idx': 6160, 'end_idx': 6229, 'score': 6.8179552454745656}, {'start_idx': 6230, 'end_idx': 6299, 'score': 6.597561366848987}]",2,1,1,"[[6130, 6199], [6270, 6549]]","[(5570, 5639), (5780, 5919)]",2,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 7.723652163653979}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.888443918480485}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.259920101701017}, {'start_idx': 5880, 'end_idx': 5949, 'score': 7.1512708579656055}, {'start_idx': 6020, 'end_idx': 6089, 'score': 6.9805916899759906}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.956212500447768}, {'start_idx': 6160, 'end_idx': 6229, 'score': 6.8179552454745656}, {'start_idx': 6230, 'end_idx': 6299, 'score': 6.597561366848987}]",SMAP,"[[5000, 5050], [5614, 5857]]","[contextual, contextual]"
