run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
ESN_lr_2021-08-02_10.31.02,P-1,2089,8245,2,0.08227382935302517,"[{'start_idx': 2310, 'end_idx': 2379, 'score': 1.6362486686134983}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.9106896746766603}]",1,2,1,"[[2560, 2629]]","[(4520, 4589)]",3,"[{'start_idx': 2310, 'end_idx': 2379, 'score': 1.6362486686134983}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.9106896746766603}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
ESN_lr_2021-08-02_10.31.02,S-1,2046,7071,1,0.17594872471286915,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5275995070426889}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.940730635659725}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.8385796292272265}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.283282432972431}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.39376560665531}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.8194350536976867}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.4540240568849687}]",0,0,1,[],"[(5290, 5710)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5275995070426889}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.940730635659725}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.8385796292272265}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.283282432972431}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.39376560665531}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.8194350536976867}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.4540240568849687}]",SMAP,"[[5300, 5747]]",[point]
ESN_lr_2021-08-02_10.31.02,E-1,2096,8256,4,0.04987675591183342,"[{'start_idx': 1526, 'end_idx': 1734, 'score': 4.084527702303408}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.848901883316892}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.463083197110572}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.744542547125187}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.2648432197768456}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.498473344763315}, {'start_idx': 5880, 'end_idx': 5949, 'score': 5.913937548780904}, {'start_idx': 6090, 'end_idx': 6159, 'score': 5.738105582998496}, {'start_idx': 6160, 'end_idx': 6229, 'score': 5.8368818743498245}, {'start_idx': 6230, 'end_idx': 6299, 'score': 5.5957016999158595}]",3,1,1,"[[1776, 1984], [6130, 6199], [6340, 6549]]","[(5570, 5919)]",2,"[{'start_idx': 1526, 'end_idx': 1734, 'score': 4.084527702303408}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.848901883316892}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.463083197110572}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.744542547125187}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.2648432197768456}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.498473344763315}, {'start_idx': 5880, 'end_idx': 5949, 'score': 5.913937548780904}, {'start_idx': 6090, 'end_idx': 6159, 'score': 5.738105582998496}, {'start_idx': 6160, 'end_idx': 6229, 'score': 5.8368818743498245}, {'start_idx': 6230, 'end_idx': 6299, 'score': 5.5957016999158595}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
ESN_lr_2021-08-02_10.31.02,E-2,2096,8272,1,0.07451745287514797,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 4.841332150766389}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.238842972368844}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.472495994262034}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.046250298331333}]",0,0,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 4.841332150766389}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.238842972368844}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.472495994262034}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.046250298331333}]",SMAP,"[[5598, 6995]]",[point]
ESN_lr_2021-08-02_10.31.02,E-3,2096,8047,2,0.02281154760619676,"[{'start_idx': 5600, 'end_idx': 5669, 'score': 4.615324198048039}, {'start_idx': 5670, 'end_idx': 5739, 'score': 4.390026835266961}, {'start_idx': 6160, 'end_idx': 6229, 'score': 5.4086741329911785}, {'start_idx': 6230, 'end_idx': 6299, 'score': 5.234650285109987}]",0,0,1,[],"[(5850, 5989), (6410, 6549)]",1,"[{'start_idx': 5600, 'end_idx': 5669, 'score': 4.615324198048039}, {'start_idx': 5670, 'end_idx': 5739, 'score': 4.390026835266961}, {'start_idx': 6160, 'end_idx': 6229, 'score': 5.4086741329911785}, {'start_idx': 6230, 'end_idx': 6299, 'score': 5.234650285109987}]",SMAP,"[[5094, 8306]]",[point]
ESN_lr_2021-08-02_10.31.02,E-4,2096,8094,0,0.0385510244860587,[],0,1,0,[],[],1,[],SMAP,"[[5450, 8261]]",[point]
ESN_lr_2021-08-02_10.31.02,E-5,2096,8034,1,0.06045945422460136,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 3.3164342474249002}]",1,1,0,"[[5010, 5079]]",[],1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 3.3164342474249002}]",SMAP,"[[5600, 5920]]",[point]
ESN_lr_2021-08-02_10.31.02,E-6,2096,8040,1,0.00347774487711745,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.07935979787519}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.334393901843741}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.22446973963111}, {'start_idx': 5530, 'end_idx': 5536, 'score': 9.187394688689634}]",0,0,1,[],"[(5570, 5786)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.07935979787519}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.334393901843741}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.22446973963111}, {'start_idx': 5530, 'end_idx': 5536, 'score': 9.187394688689634}]",SMAP,"[[5610, 5675]]",[point]
ESN_lr_2021-08-02_10.31.02,E-7,2007,8050,1,0.018974566570667054,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.810051699369469}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.717196943732814}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.135423987499578}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.074669942498893}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.151860387293043}]",0,0,1,[],"[(5430, 5763)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.810051699369469}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.717196943732814}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.135423987499578}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.074669942498893}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.151860387293043}]",SMAP,"[[5394, 5674]]",[point]
ESN_lr_2021-08-02_10.31.02,E-8,2096,8272,1,0.029392856836017497,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 3.9957304061541956}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.829140003363729}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.238956822885449}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.721648590666814}]",0,0,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 3.9957304061541956}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.829140003363729}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.238956822885449}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.721648590666814}]",SMAP,"[[5400, 6022]]",[point]
