run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,anomaly_sequences
ESN_nolabel_2021-07-28_21.48.21,A-1,1676,8380,1,0.09345674736687562,"[{'start_idx': 4480, 'end_idx': 4549, 'score': 0.608980853649478}, {'start_idx': 4550, 'end_idx': 4619, 'score': 0.5493228061453457}]","[(4730, 4869)]"
ESN_nolabel_2021-07-28_21.48.21,A-2,1528,7654,1,0.0751298821161478,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 0.5992332936707804}]","[(4520, 4589)]"
ESN_nolabel_2021-07-28_21.48.21,A-3,1584,7945,2,0.05041309388235777,"[{'start_idx': 826, 'end_idx': 1231, 'score': 1.7208736486060763}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.159340366643935}, {'start_idx': 4410, 'end_idx': 4479, 'score': 1.9534638726347358}, {'start_idx': 4480, 'end_idx': 4549, 'score': 2.3496569760956048}, {'start_idx': 4550, 'end_idx': 4619, 'score': 2.0709990307852397}]","[(1076, 1481), (4590, 4869)]"
ESN_nolabel_2021-07-28_21.48.21,A-4,1555,7820,1,0.0603045835716091,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 1.6120570770115155}, {'start_idx': 4340, 'end_idx': 4409, 'score': 0.5987375608016302}]","[(4520, 4659)]"
ESN_nolabel_2021-07-28_21.48.21,A-5,284,4433,1,0.5313850280020882,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 2.6789989249122925}, {'start_idx': 2520, 'end_idx': 2589, 'score': 8.868437577888706}, {'start_idx': 2590, 'end_idx': 2659, 'score': 9.156798879057423}, {'start_idx': 2660, 'end_idx': 2729, 'score': 8.89060707188609}, {'start_idx': 2730, 'end_idx': 2799, 'score': 8.56667859995894}, {'start_idx': 2800, 'end_idx': 2869, 'score': 8.2565708001478}]","[(2700, 3119)]"
ESN_nolabel_2021-07-28_21.48.21,A-6,269,4193,1,0.048610399364000224,"[{'start_idx': 1555, 'end_idx': 1832, 'score': 5.343194731790799}]","[(1805, 2082)]"
ESN_nolabel_2021-07-28_21.48.21,A-7,1676,8371,1,0.08357373842926157,"[{'start_idx': 6020, 'end_idx': 6089, 'score': 1.6665276863583702}, {'start_idx': 6090, 'end_idx': 6159, 'score': 2.384466924475937}, {'start_idx': 6160, 'end_idx': 6229, 'score': 2.7665128160881416}, {'start_idx': 6230, 'end_idx': 6299, 'score': 2.924409362553082}, {'start_idx': 6300, 'end_idx': 6369, 'score': 3.122570556100409}, {'start_idx': 6370, 'end_idx': 6439, 'score': 3.2038229413116106}]","[(6270, 6689)]"
ESN_nolabel_2021-07-28_21.48.21,A-8,320,8115,3,0.21558965896892382,"[{'start_idx': 7280, 'end_idx': 7349, 'score': 4.97061392393747}, {'start_idx': 7420, 'end_idx': 7489, 'score': 5.234350210267841}, {'start_idx': 7490, 'end_idx': 7559, 'score': 5.383073824494614}, {'start_idx': 7560, 'end_idx': 7629, 'score': 5.540106307692117}, {'start_idx': 7630, 'end_idx': 7699, 'score': 5.732405224911569}, {'start_idx': 7700, 'end_idx': 7769, 'score': 5.854898087575469}, {'start_idx': 7770, 'end_idx': 7839, 'score': 5.98891495085856}, {'start_idx': 7840, 'end_idx': 7909, 'score': 6.110438924782517}, {'start_idx': 7910, 'end_idx': 7979, 'score': 7.370124438418302}, {'start_idx': 8045, 'end_idx': 8114, 'score': 9.255560918957668}]","[(7530, 7599), (7670, 8229), (8295, 8364)]"
ESN_nolabel_2021-07-28_21.48.21,A-9,320,8174,1,0.9593260942088719,"[{'start_idx': 7980, 'end_idx': 8049, 'score': 0.6010615068227475}]","[(8230, 8299)]"
ESN_nolabel_2021-07-28_21.48.21,B-1,1392,7784,1,0.45491069885696317,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 43.35716702802227}, {'start_idx': 4830, 'end_idx': 4899, 'score': 16.916189320342163}, {'start_idx': 4900, 'end_idx': 4969, 'score': 13.563020959153182}, {'start_idx': 4970, 'end_idx': 5039, 'score': 11.938653533731873}, {'start_idx': 5040, 'end_idx': 5109, 'score': 10.916758394626973}, {'start_idx': 5110, 'end_idx': 5179, 'score': 10.180706939460116}]","[(5010, 5429)]"
ESN_nolabel_2021-07-28_21.48.21,C-1,1214,2004,1,0.025468931603647597,"[{'start_idx': 250, 'end_idx': 589, 'score': 4.694458614711512}]","[(500, 839)]"
ESN_nolabel_2021-07-28_21.48.21,C-2,322,1791,1,0.3058968430305561,"[{'start_idx': 0, 'end_idx': 137, 'score': 5.10085492088986}]","[(250, 387)]"
ESN_nolabel_2021-07-28_21.48.21,D-1,1656,8249,1,0.34297972035339114,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 0.5275199776009758}, {'start_idx': 5180, 'end_idx': 5249, 'score': 1.553931113694572}, {'start_idx': 5250, 'end_idx': 5319, 'score': 1.8134153283780703}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.1425988119387553}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.330446467716149}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.01648526519956}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.333836382214232}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.375020061734796}, {'start_idx': 5670, 'end_idx': 5739, 'score': 6.267060551348428}]","[(5360, 5989)]"
ESN_nolabel_2021-07-28_21.48.21,D-11,1504,7171,1,0.012213422562202298,"[{'start_idx': 3990, 'end_idx': 4059, 'score': 3.3087650438547414}, {'start_idx': 4060, 'end_idx': 4129, 'score': 3.630138574768157}]","[(4240, 4379)]"
ESN_nolabel_2021-07-28_21.48.21,D-12,32,7658,3,0.17005248155567862,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 0.7023143015923232}, {'start_idx': 5180, 'end_idx': 5249, 'score': 1.3676014641287089}, {'start_idx': 5250, 'end_idx': 5319, 'score': 1.7363016565482698}, {'start_idx': 5320, 'end_idx': 5389, 'score': 1.9631009022936898}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.11460002598982}, {'start_idx': 5670, 'end_idx': 5739, 'score': 4.3643236816017446}, {'start_idx': 5740, 'end_idx': 5809, 'score': 5.20861459475627}, {'start_idx': 5810, 'end_idx': 5879, 'score': 5.51540944387662}, {'start_idx': 5880, 'end_idx': 5949, 'score': 5.6148813715335}, {'start_idx': 6020, 'end_idx': 6089, 'score': 6.129886194792872}, {'start_idx': 6090, 'end_idx': 6159, 'score': 7.054812284361969}, {'start_idx': 6160, 'end_idx': 6229, 'score': 7.211238879070138}, {'start_idx': 6230, 'end_idx': 6299, 'score': 7.132294387473345}, {'start_idx': 6300, 'end_idx': 6369, 'score': 6.981082738923025}]","[(5360, 5709), (5920, 6199), (6270, 6619)]"
