run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
LSTM_baseline_2021-07-23_19.26.44,P-1,2612,8245,1,0.08737661046850513,"[{'start_idx': 1886, 'end_idx': 2099, 'score': 2.223991614761088}]",0,2,1,[],"[(2136, 2349)]",3,"[{'start_idx': 1886, 'end_idx': 2099, 'score': 2.223991614761088}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
LSTM_baseline_2021-07-23_19.26.44,S-1,2558,7071,1,0.17490279275468848,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.3383013547358513}, {'start_idx': 5110, 'end_idx': 5179, 'score': 4.607999224903005}, {'start_idx': 5180, 'end_idx': 5249, 'score': 5.059233951133394}, {'start_idx': 5250, 'end_idx': 5319, 'score': 5.143516506538633}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.908572595618093}]",0,0,1,[],"[(5290, 5639)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.3383013547358513}, {'start_idx': 5110, 'end_idx': 5179, 'score': 4.607999224903005}, {'start_idx': 5180, 'end_idx': 5249, 'score': 5.059233951133394}, {'start_idx': 5250, 'end_idx': 5319, 'score': 5.143516506538633}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.908572595618093}]",SMAP,"[[5300, 5747]]",[point]
LSTM_baseline_2021-07-23_19.26.44,E-1,2620,8256,3,0.0687326625305666,"[{'start_idx': 1503, 'end_idx': 1758, 'score': 3.5289787931584433}, {'start_idx': 4760, 'end_idx': 4829, 'score': 8.597182180828788}, {'start_idx': 4830, 'end_idx': 4899, 'score': 6.3633442843203065}, {'start_idx': 4900, 'end_idx': 4937, 'score': 5.3787131823525565}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.649605869809454}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.635181300331498}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.515135640033927}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.167921132198204}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.810621264921494}, {'start_idx': 5670, 'end_idx': 5716, 'score': 7.218509316989602}]",1,0,2,"[[1753, 2008]]","[(5010, 5187), (5570, 5966)]",2,"[{'start_idx': 1503, 'end_idx': 1758, 'score': 3.5289787931584433}, {'start_idx': 4760, 'end_idx': 4829, 'score': 8.597182180828788}, {'start_idx': 4830, 'end_idx': 4899, 'score': 6.3633442843203065}, {'start_idx': 4900, 'end_idx': 4937, 'score': 5.3787131823525565}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.649605869809454}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.635181300331498}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.515135640033927}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.167921132198204}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.810621264921494}, {'start_idx': 5670, 'end_idx': 5716, 'score': 7.218509316989602}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
LSTM_baseline_2021-07-23_19.26.44,E-2,2620,8272,2,0.07822244636889143,"[{'start_idx': 1518, 'end_idx': 1745, 'score': 3.0176646098564937}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.9971870228571382}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.1348791163934213}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.095486032873614}, {'start_idx': 5530, 'end_idx': 5599, 'score': 4.511973338413857}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.509274295879615}]",1,0,1,"[[1768, 1995]]","[(5570, 5919)]",1,"[{'start_idx': 1518, 'end_idx': 1745, 'score': 3.0176646098564937}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.9971870228571382}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.1348791163934213}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.095486032873614}, {'start_idx': 5530, 'end_idx': 5599, 'score': 4.511973338413857}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.509274295879615}]",SMAP,"[[5598, 6995]]",[point]
LSTM_baseline_2021-07-23_19.26.44,E-3,2620,8047,2,0.019454537195077403,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 0.6293273306138542}, {'start_idx': 4830, 'end_idx': 4899, 'score': 0.6388470383443297}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.00762998960145}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.214216901884736}]",0,0,1,[],"[(5010, 5149), (5570, 5709)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 0.6293273306138542}, {'start_idx': 4830, 'end_idx': 4899, 'score': 0.6388470383443297}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.00762998960145}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.214216901884736}]",SMAP,"[[5094, 8306]]",[point]
LSTM_baseline_2021-07-23_19.26.44,E-4,2620,8094,1,0.051671848145897786,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.123344891410276}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.0476136993282146}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.1088369494710717}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.1009540686121584}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.080426830059564}]",0,0,1,[],"[(5570, 5919)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.123344891410276}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.0476136993282146}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.1088369494710717}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.1009540686121584}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.080426830059564}]",SMAP,"[[5450, 8261]]",[point]
LSTM_baseline_2021-07-23_19.26.44,E-5,2620,8034,2,0.08700521815385515,"[{'start_idx': 1466, 'end_idx': 1742, 'score': 3.4644190961598453}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.9594113717719424}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.8723868559923735}]",1,0,1,"[[1716, 1992]]","[(5570, 5709)]",1,"[{'start_idx': 1466, 'end_idx': 1742, 'score': 3.4644190961598453}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.9594113717719424}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.8723868559923735}]",SMAP,"[[5600, 5920]]",[point]
LSTM_baseline_2021-07-23_19.26.44,E-6,2620,8040,1,0.01403211306998343,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 13.224970127843294}, {'start_idx': 5390, 'end_idx': 5459, 'score': 11.621320064714174}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.202324870288466}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 13.224970127843294}, {'start_idx': 5390, 'end_idx': 5459, 'score': 11.621320064714174}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.202324870288466}]",SMAP,"[[5610, 5675]]",[point]
LSTM_baseline_2021-07-23_19.26.44,E-7,2509,8050,1,0.016353784768174104,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 11.810935697396406}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.077126273124806}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.550477370996845}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.908129804323632}, {'start_idx': 5460, 'end_idx': 5517, 'score': 7.759327186077231}]",0,0,1,[],"[(5430, 5767)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 11.810935697396406}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.077126273124806}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.550477370996845}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.908129804323632}, {'start_idx': 5460, 'end_idx': 5517, 'score': 7.759327186077231}]",SMAP,"[[5394, 5674]]",[point]
LSTM_baseline_2021-07-23_19.26.44,E-8,2620,8272,1,0.05874745172130138,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 3.1806525798013063}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.555305529245613}, {'start_idx': 5530, 'end_idx': 5599, 'score': 3.7027105072294915}, {'start_idx': 5600, 'end_idx': 5669, 'score': 3.4887073341979256}]",0,0,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 3.1806525798013063}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.555305529245613}, {'start_idx': 5530, 'end_idx': 5599, 'score': 3.7027105072294915}, {'start_idx': 5600, 'end_idx': 5669, 'score': 3.4887073341979256}]",SMAP,"[[5400, 6022]]",[point]
